XGBClassifier의 P(y=1),LGBMClassifier의 P(y=1),CatBoostClassifier의 P(y=1),평균 P(y=1)의 확률,prediction_0.22,actual,confusion
0.7033412,0.993480750523549,0.301867655939779,0.6662298641699761,1,0,FP
0.014731271,0.00018671373334109003,0.2658522787598259,0.0935900878951995,0,0,TN
0.00025060383,9.646740752380005e-10,0.06866134286772393,0.022970649220480952,0,0,TN
0.04775494,2.1967068094756865e-05,0.10812813002529327,0.05196834557963894,0,0,TN
0.0075173914,0.000274518191382592,0.15932564355095236,0.05570585103081841,0,1,FN
0.022472618,3.930755947644073e-05,0.2352102776804971,0.08590740112923478,0,0,TN
0.0032732857,0.00022421382578250283,0.05621190162798391,0.01990313371544137,0,0,TN
0.02006565,0.0010643656777953345,0.2516008984722401,0.09091030483131013,0,0,TN
0.12538072,0.0031832112773518923,0.34259543155489347,0.1570531225002494,0,0,TN
0.007283156,3.68855567447085e-06,0.35122163704440484,0.11950282713548065,0,0,TN
0.008986919,1.3866025439848891e-05,0.17935286212557533,0.06278454911267484,0,0,TN
0.07542391,0.10663184305917983,0.6556217766173539,0.2792258436301362,1,0,FP
0.0019667512,7.675977981249498e-07,0.38212622176982436,0.1280312468494039,0,0,TN
0.0018814792,5.5127784204013785e-06,0.06236484894040839,0.021417280296023623,0,0,TN
0.0005775124,4.821993474880142e-06,0.013804134203851005,0.004795489523048451,0,0,TN
0.0014316802,1.0274046696193208e-06,0.30630177298337474,0.10257816018535652,0,0,TN
0.000568619,1.0992796477923224e-07,0.01730971502196854,0.005959481315954934,0,0,TN
0.02197044,0.00275038811601318,0.11875565633967806,0.04782549471932122,0,0,TN
0.8674503,0.9995005528937775,0.6862250297620629,0.8510586265115517,1,0,FP
0.0002834193,6.370558698640088e-09,0.07839559600528109,0.02622634055864778,0,0,TN
0.022296147,0.0007639680313622144,0.1695283188985422,0.0641961447836356,0,0,TN
0.008111217,0.00013938469176944104,0.47757410379046317,0.16194156851380923,0,0,TN
0.008515344,0.0004639411357489653,0.2687927256735752,0.09259067027022566,0,0,TN
0.00012959524,2.910350397831393e-06,0.12374294764926033,0.04129181774616333,0,0,TN
